Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Developmental Services Act, R.S.O. 1990, c. D.11","Yes",,,"1992, c. 32, s. 7 (But see 1996, c. 2, s. 64 (1))
2001, c. 13, s. 2
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. E, s. 1
2008, c. 14, s. 63
2010, c. 15, s. 220","","01/07/2011","2008, c. 14, s. 63"
"Dietetics Act, 1991, S.O. 1991, c. 26","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 31
2007, c. 10, Sch. B, s. 8
2009, c. 26, s. 7","","",""
"Dionne Quintuplet Guardianship Act, 1944, S.O. 1944, c. 17","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Discriminatory Business Practices Act, R.S.O. 1990, c. D.12","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","1999, c. 12, Sch. G, s. 22
2001, c. 9, Sch. D, s. 13, 14
2002, c. 30, Sch. E, s. 6 (But see 2004, c. 19, s. 8 (1) and (2))
2006, c. 34, s. 11
2009, c. 33, Sch. 10, s. 5
2019, c. 7, Sch. 18
2019, c. 7, Sch. 18","","",""
"Disorderly Houses Act, R.S.O. 1990, c. D.13","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 19, Sch. C, s. 1 (1)","","",""
"Dissolution of Inactive Corporations Act, 2006, S.O. 2006, c. 19, Sched. J","Yes",,,,"","25/10/2010","2010, c. 16, Sch. 6, s. 2"
"District Court Houses Act, R.S.O. 1937, c. 389","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District Municipality of Muskoka Act, R.S.O. 1970, c. 131","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District Municipality of Muskoka Act, R.S.O. 1980, c. 121","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District Municipality of Muskoka Act, R.S.O. 1990, c. D.14","Yes",,,"1991, c. 15, s. 7-13
1992, c. 15, s. 20-34
1993, c. 11, s. 4-7
1993, c. 20, s. 7
1993, c. 27, Sch.
1994, c. 11, s. 387
1994, c. 17, s. 47
1994, c. 23, s. 84, 85
1994, c. 27, s. 141
1996, c. 32, s. 69
1996, c. 33, s. 26-28
1997, c. 16, s. 4
1997, c. 29, s. 57
1997, c. 5, s. 66
1997, c. 8, s. 42
1998, c. 15, Sch. E, s. 9
1998, c. 18, Sch. B, s. 6
2001, c. 13, s. 15","","01/01/2003","2001, c. 25, s. 484"
"District Municipality of Muskoka Amendment Act, 1989, S.O. 1989, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District Municipality of Muskoka Statute Law Amendment Act, 1989, S.O. 1989, c. 74","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District of Cochrane Act, 1922, S.O. 1922, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"District of Parry Sound Local Government Act, 1979, S.O. 1979, c. 61","No",,,"1992, c. 8","See R.S.O. 1990, Schedule C","01/01/2003","2002, c. 17, s. 7"
"District Social Services Administration Boards Act, R.S.O. 1990, c. D.15 (formerly District Welfare Administration Boards Act)","Yes","Minister of Children, Community and Social Services","1144/2018 (10/11/2018)","1997, c. 25, Sch. C, s. 1
1999, c. 12, Sch. E, s. 3
2002, c. 17, Sch. F, Table
2006, c. 33, Sch. Z.3, s. 7","","",""
"Division Courts Act, 1880, S.O. 1880, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Division Courts Amendment Act, 1970, S.O. 1970, c. 120","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Dog Owners' Liability Act, R.S.O. 1990, c. D.16","Yes","Attorney General","1143/2018 (10/11/2018)","2000, c. 26, Sch. A, s. 6
2005, c. 2, s. 1
2006, c. 32, Sch. C, s. 13 
2018, c. 3, Sch. 5, s. 17 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 15","","",""
"Dog Owners’ Liability Act, 1980, S.O. 1980, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Domestic Violence Protection Act, 2000, S.O. 2000, c. 33","Yes",,,"2002, c. 18, Sch. A, s. 6
2005, c. 5, s. 20","","14/05/2009","2009, c. 11, s. 21"
"Don Valley Improvement Act, 1933, The, S.O. 1933, c. 12","No",,,,"Total","",""
"Donation of Food Act, 1994, S.O. 1994, c. 19","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Drainage Act, R.S.O. 1990, c. D.17","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1992, c. 32, s. 8
1998, c. 18, Sch. A, s. 1
1999, c. 12, Sch. A, s. 9
2001, c. 9, Sch. A
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. A, s. 6
2006, c. 21, Sch. C, s. 107
2006, c. 32, Sch. C, s. 14
2006, c. 35, Sch. C, s. 27
2009, c. 33, Sch. 1, s. 9
2010, c. 16, Sch. 1, s. 2
2017, c. 23, Sch. 5, s. 27
2019, c. 7, Sch. 19
2019, c. 7, Sch. 19","","",""
"Drug and Pharmacies Regulation Act, R.S.O. 1990, c. H.4 (formerly Health Disciplines Act)","Yes","Minister of Health","1110/2019 (31/08/2019)","1991, c. 18, s. 47
1998, c. 18, Sch. G, s. 49
2000, c. 42, Sch. s. 12, 13
2004, c. 3, Sch. A, s. 80
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. L, s. 11 (2) and (5)
2006, c. 27, s. 16
2007, c. 10, Sch. L, s. 1-29
2009, c. 26, s. 8
2009, c. 31, s. 68
2009, c. 33, Sch. 6, s. 51
2014, c. 14, Sch. 2, s. 1-7
2017, c. 11, Sch. 1
2017, c. 25, Sch. 9, s. 92
2017, c. 26, Sch. 1, s. 29
2018, c. 12, Sch. 1, s. 21","","",""
"Drug Interchangeability and Dispensing Fee Act, R.S.O. 1990, c. P.23 (formerly Prescription Drug Cost Regulation Act)","Yes","Minister of Health","1110/2019 (31/08/2019)","1996, c. 1, Sch. G, s. 19-26
2004, c. 7, s. 7
2006, c. 14, s. 1-4
2006, c. 19, Sch. L, s. 1
2006, c. 27, s. 15
2007, c. 10, Sch. L, s. 30
2010, c. 1, Sch. 5
2016, c. 6, Sch. 1, s. 2","","",""
"Drugless Practitioners Act, R.S.O. 1990, c. D.18","Yes",,,"2006, c. 34, s. 30","","01/07/2015","2007, c. 10, Sch. P, s. 14 (1)"
"Duffins Rouge Agricultural Preserve Act, 2005, S.O. 2005, c. 30","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)",,"","",""
"Dutch Heritage Month Act, 2011, S.O. 2011, c. 4","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)",,"","",""
"Early Childhood Educators Act, 2007, S.O. 2007, c. 7, Sched. 8","Yes","Minister of Education","1147/2018 (10/11/2018)","2009, c. 33, Sch. 6, s. 52
2010, c. 10, s. 29-31
2010, c. 15, s. 221
2014, c. 11, Sch. 3
2016, c. 24, Sch. 1
2017, c. 14, Sch. 4, s. 12
2018, c. 8, Sch. 8
2019, c. 3, Sch. 1
CTS 20 SE 10 - 2","","",""
"East Parry Sound Board of Education and Teachers Dispute Settlement Act, 1993, S.O. 1993, c. 24","No",,,,"","01/09/1995","1993, c. 24, s. 10 (2)"
"Edible Oil Products Act, R.S.O. 1990, c. E.1","Yes",,,"1994, c. 27, s. 17
1999, c. 12, Sch. A, s. 10","","01/01/2005","2001, c. 20, s. 57 (But see 2002, c. 35, s. 1 and 2004, c. 4, s. 1)"
"Education Act, R.S.O. 1980, c. 129","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Education Act, R.S.O. 1990, c. E.2","Yes","Attorney General, in respect of section 57
Minister of Education, except in respect of sections 57, 257.2.1, 257.5, 257.6, 257.7 (3) and (4), 257.10, 257.11.1 (2), 257.12, 257.12.1, 257.12.2, 257.12.3, 257.13, 257.19 (4) and 266.1 to 266.5 inclusive, in so far as they relate to post-secondary educational institutions and training institutions, their officers and employees, and persons enrolled in, or seeking admission to, such institutions
Minister of Finance, in respect of sections 257.2.1, 257.5, 257.6, 257.7 (3) and (4), 257.10, 257.11 .1 (2), 257.12, 257.12.1, 257.12.2, 257.12.3, 257.13 and subsection 257.19 (4)
Minister of Training, Colleges and Universities, in respect of sections 266.1 to 266.5, as they relate to post-secondary educational institutions and training institutions, their officers and employees, and persons enrolled in, or seeking admission to, such institutions","Attorney General: 1143/2018 (10/11/2018)
Minister of Education: 1147/2018 (10/11/2018)
Minister of Finance: 1150/2018 (10/11/2018)
Minister of Training, Colleges and Universities: 1161/2018 (10/11/2018)","1991, c. 10
1991, c. 15, s. 36
1992, c. 15, s. 85-89
1992, c. 16
1992, c. 17, s. 1-3
1992, c. 27, s. 59
1992, c. 32, s. 9
1993, c. 11, s. 8-43
1993, c. 23, s. 67
1993, c. 26, s. 44, 45
1993, c. 27, Sch.
1993, c. 41
1994, c. 1, s. 22
1994, c. 17, s. 48
1994, c. 23, s. 65
1994, c. 27, s. 45, 108
1995, c. 4, s. 2
1996, c. 11, s. 29
1996, c. 12, s. 64
1996, c. 13
1996, c. 2, s. 65
1996, c. 32, s. 70
1997, c. 16, s. 5
1997, c. 19, s. 33
1997, c. 22
1997, c. 27, s. 71
1997, c. 3, s. 2-10
1997, c. 31, s. 1-142 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
1997, c. 32, s. 10
1997, c. 43, Sch. G, s. 20
1998, c. 14
1998, c. 3, s. 34
1998, c. 33, s. 39-46
1999, c. 6, s. 20
1999, c. 9, s. 98-100
2000, c. 11 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2000, c. 12, s. 1-3
2000, c. 25, s. 45
2000, c. 26, Sch. C, s. 1
2000, c. 5, s. 11
2001, c. 13, s. 16
2001, c. 14, Sch. A
2001, c. 17, s. 1
2001, c. 23, s. 65
2001, c. 24, s. 1-5
2001, c. 8, s. 204
2002, c. 17, Sch. C, s. 7-9
2002, c. 17, Sch. D, s. 36, 37
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. G, s. 1-12
2002, c. 22, s. 57-59
2002, c. 7, s. 1
2002, c. 8, Sch. A
2002, c. 8, Sch. I, s. 8
2003, c. 2, s. 20
2004, c. 31, Sch. 10
2004, c. 8, s. 46, Table
2005, c. 21
2005, c. 4
2005, c. 5, s. 21
2006, c. 10, s. 1-50, 67 (But see 2006, c. 10, s. 64)
2006, c. 17, s. 251
2006, c. 2, s. 47
2006, c. 21, Sch. F, s. 107, 136 (1)
2006, c. 28 (see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2006, c. 32, Sch. C, s. 15
2006, c. 33, Sch. Z.3, s. 8
2006, c. 34, s. 31
2006, c. 35, Sch. C, s. 28
2006, c. 5, s. 52
2006, c. 9, Sch. H, s. 6
2007, c. 14
2007, c. 7, Sch. 9
2008, c. 14, s. 52
2008, c. 19, Sch. D
2008, c. 2
2008, c. 7, Sch. F
2009, c. 17
2009, c. 18, Sch. 10
2009, c. 25
2009, c. 33, Sch. 13, s. 1
2009, c. 33, Sch. 2, s. 25
2009, c. 33, Sch. 6, s. 53
2009, c. 33, Sch. 8, s. 12
2009, c. 34, Sch. I, s. 1-21
2010, c. 10, s. 1-22
2010, c. 26, Sch. 5
2011, c. 1, Sch. 3, s. 1
2011, c. 9, Sch. 10
2012, c. 11, s. 21
2012, c. 5
2014, c. 11, Sch. 4
2014, c. 13, Sch. 9, s. 19
2014, c. 5, s. 47
2015, c. 28, Sch. 1, s. 149
2016, c. 15, s. 73
2016, c. 33, s. 34
2016, c. 5, Sch. 8
2017, c. 10, Sch. 4, s. 3
2017, c. 14, Sch. 4, s. 13
2017, c. 20, Sch. 8, s. 79
2017, c. 26, Sch. 1, s. 30
2017, c. 3, s. 26
2017, c. 34, Sch. 12, s. 1-10
2017, c. 8, Sch. 7
2018, c. 1, s. 8
2018, c. 12, Sch. 1, s. 22
2018, c. 8, Sch. 9
2019, c. 3, Sch. 2
2019, c. 4, Sch. 3, s. 4, 5
2019, c. 7, Sch. 17, s. 61
2019, c. 7, Sch. 17, s. 61
2019, c. 7, Sch. 20
2019, c. 7, Sch. 20
2019, c. 9, Sch. 4
CTS 5 SE 13 - 1
CTS 6 JN 14 - 1","","",""
"Education Amendment Act, 1976, S.O. 1976, c. 50","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Education Amendment Act, 1986 (No. 1), S.O. 1986, c. 21","No",,,"2006, c. 21, Sch. F, s. 98","preamble/s. 4","",""
"Education Development Charges Act, R.S.O. 1990, c. D.9 (formerly Development Charges Act)","Yes",,,"1994, c. 23, s. 64
1996, c. 4, s. 44-53
1997, c. 27, s. 69","","01/03/1998","1997, c. 31, s. 147 (2)"
"Education Quality and Accountability Office Act, 1996, S.O. 1996, c. 11","Yes","Minister of Education","1147/2018 (10/11/2018)","1997, c. 31, s. 148
2004, c. 17, s. 32
2004, c. 8, s. 46, Table
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 35, Sch. C, s. 29
2017, c. 20, Sch. 8, s. 80
2017, c. 34, Sch. 46, s. 12
2019, c. 7, Sch. 17, s. 62
2019, c. 7, Sch. 17, s. 62","","",""
"Education Statute Law Amendment Act, 1988, S.O. 1988, c. 27","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Education Statute Law Amendment Act, 1989, S.O. 1989, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Egress from Public Buildings Act, R.S.O. 1990, c. E.3","Yes",,,,"","29/10/1997","1997, c. 4, s. 86"
"Elderly Persons Centres Act, R.S.O. 1990, c. E.4","Yes",,,"2002, c. 17, Sch. F, Table
2010, c. 15, s. 222
2017, c. 11, Sch. 6, s. 15 (1)","","01/10/2017","2017, c. 11, Sch. 6, s. 15 (1)"
"Elderly Persons Housing Aid Act, 1952, S.O. 1952, c. 27","No",,,,"See R.S.O. 1990, Schedule C","01/01/2003","2002, c. 17, s. 7"
"Elderly Persons' Housing Aid Act, R.S.O. 1990, c. E.5","Yes",,,,"","08/12/2016","2016, c. 25, Sch. 2, s. 1"
"Election Act, R.S.O. 1990, c. E.6","Yes","Attorney General","1143/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 27, s. 46
1996, c. 28, s. 2
1996, c. 7
1998, c. 9, s. 1-50
1999, c. 6, s. 21
1999, c. 7, Sch. A, s. 22
2001, c. 32, s. 24
2004, c. 17, s. 32
2005, c. 23
2005, c. 29, s. 3
2005, c. 35, s. 1
2005, c. 5, s. 22
2006, c. 21, Sch. F, s. 108 (But see 2006, c. 21, Sch. F, s. 142)
2006, c. 35, Sch. C, s. 30
2007, c. 15, s. 1-28, 37 (3), 39 (3), 40
2007, c. 7, Sch. 10
2007, c. 7, Sch. 7, s. 185
2007, c. 8, s. 203
2009, c. 33, Sch. 2, s. 26
2009, c. 33, Sch. 3, s. 1
2009, c. 33, Sch. 6, s. 54
2010, c. 7, s. 1-38
2011, c. 17
2011, c. 9, Sch. 11
2015, c. 31, Sch. 3
2016, c. 33, s. 1-33
2017, c. 18, s. 5
2018, c. 17, Sch. 12, s. 1-6","","",""
"Election Finances Act, 1986, S.O. 1986, c. 33","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Election Finances Act, R.S.O. 1990, c. E.7","Yes","Attorney General","1143/2018 (10/11/2018)","1996, c. 28, s. 3
1998, c. 9, s. 51-79, 82
1999, c. 7, Sch. A, s. 23
2001, c. 32, s. 25
2002, c. 8, Sch. I, s. 9
2004, c. 14
2004, c. 16, Sch. D, Table
2004, c. 17, s. 32
2004, c. 8, s. 46, Table
2005, c. 35, s. 2
2007, c. 15, s. 29-35, 37 (4)-(7), 39 (4)-(7), 40
2007, c. 7, Sch. 11
2007, c. 7, Sch. 7, s. 186
2009, c. 33, Sch. 3, s. 2
2009, c. 33, Sch. 6, s. 55
2010, c. 7, s. 39-45
2015, c. 31, Sch. 4
2016, c. 22, s. 1-58
2016, c. 33, s. 35
2017, c. 18, s. 4
2017, c. 34, Sch. 13
2018, c. 17, Sch. 12, s. 7
2018, c. 17, Sch. 13","","",""
"Electoral System Referendum Act, 2007, S.O. 2007, c. 1 ","Yes","Attorney General","1143/2018 (10/11/2018)","2007, c. 1, s. 20
2007, c. 15, s. 36, 40
2009, c. 33, Sch. 3, s. 3
2009, c. 33, Sch. 6, s. 56","","10/10/2013","2007, c. 1, s. 20 (3)"
"Electricity Act, 1998, S.O. 1998, c. 15, Sched. A","Yes","Minister of Energy, Northern Development and Mines, except Part VIII and Part IX.1
Minister of Government and Consumer Services, in respect of Parts VIII and IX.1","Minister of Energy, Northern Development and Mines: 1148/2018 (10/11/2018)
Minister of Government and Consumer Services: 1152/2018 (10/11/2018)","1999, c. 14, Sch. F, s. 3
1999, c. 9, s. 102-104
2000, c. 25, s. 46
2000, c. 26, Sch. D, s. 1
2000, c. 42, s. 22-43
2001, c. 23, s. 67-69
2001, c. 8, s. 205
2001, c. 9, Sch. F, s. 1
2002, c. 1, Sch. A (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2002, c. 17, Sch. F, Table
2002, c. 22, s. 61-63
2002, c. 23, s. 3 (But see 2009, c. 33, Sch. 14, s. 3 and Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2002, c. 24, Sch. B, s. 33
2004, c. 16, Sch. D, Table
2004, c. 17, s. 32
2004, c. 19, s. 12
2004, c. 23, Sch. A
2004, c. 31, Sch. 11
2004, c. 8, s. 46, Table
2005, c. 31, Sch. 6
2005, c. 33, s. 5-7
2006, c. 11, Sch. B, s. 4
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 3, Sch. B
2006, c. 32, Sch. C, s. 16
2006, c. 33, Sch. Z.3, s. 9
2006, c. 34, s. 12
2006, c. 35, Sch. C, s. 31
2007, c. 11, Sch. B, s. 3
2007, c. 13, s. 42
2007, c. 4, s. 29
2007, c. 7, Sch. 12
2008, c. 19, Sch. E
2008, c. 19, Sch. V, s. 3
2008, c. 7, Sch. G
2009, c. 12, Sch. B
2009, c. 33, Sch. 10, s. 6
2009, c. 33, Sch. 14, s. 2
2009, c. 33, Sch. 16, s. 4
2009, c. 34, Sch. J, s. 28
2010, c. 15, s. 223
2010, c. 8, s. 37
2011, c. 9, Sch. 12
2011, c. 9, Sch. 27, s. 23
2012, c. 8, Sch. 11, s. 46
2013, c. 2, Sch. 4
2014, c. 7, Sch. 7, s. 1-15
2015, c. 20, Sch. 9
2015, c. 38, Sch. 3
2016, c. 10, Sch. 2, s. 1-10
2017, c. 16, Sch. 1, s. 43
2017, c. 2, Sch. 10, s. 1
2017, c. 2, Sch. 3, s. 2
2017, c. 20, Sch. 8, s. 81
2017, c. 34, Sch. 46, s. 13
2017, c. 8, Sch. 8
2018, c. 16, s. 1, 2
2018, c. 17, Sch. 14
2018, c. 3, Sch. 5, s. 18 (see 2019, c. 1, Sch. 3, s. 5)
2018, c. 8, Sch. 10
2019, c. 1, Sch. 4, s. 16
2019, c. 6, Sch. 1, s. 1-5
2019, c. 6, Sch. 3, s. 11
CTS 17 OC 08 - 1
See: Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006","","",""
"Electronic Cigarettes Act, 2015, S.O. 2015, c. 7, Sched. 3","Yes",,,"2016, c. 30, s. 35
2017, c. 25, Sch. 9, s. 93
2017, c. 26, Sch. 3, s. 29","","17/10/2018","2017, c. 26, Sched. 3, s. 29"
"Electronic Commerce Act, 2000, S.O. 2000, c. 17","Yes","Attorney General","1143/2018 (10/11/2018)","2013, c. 2, Sch. 5
2019, c. 7, Sch. 49, s. 10
2019, c. 7, Sch. 49, s. 10","","",""
"Electronic Land Registration Services Act, 2010, S.O. 2010, c. 1, Sched. 6","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2019, c. 7, Sch. 17, s. 63
2019, c. 7, Sch. 17, s. 63","","",""
"Electronic Registration Act (Ministry of Consumer and Business Services Statutes), 1991, S.O. 1991, c. 44 (formerly Electronic Registration Act (Ministry of Consumer and Commercial Relations Statutes), 1991)","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2001, c. 9, Sch. D, s. 13","","",""
"Elevating Devices Act, R.S.O. 1990, c. E.8","Yes",,,"1993, c. 27, Sch.
1994, c. 27, s. 80
1996, c. 19, s. 19
1999, c. 12, Sch. F, s. 24","","27/06/2001","2000, c. 16, s. 45 (1)"
"Emancipation Day Act, 2008, S.O. 2008, c. 25 ","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)",,"","",""
"Emergency Management and Civil Protection Act, R.S.O. 1990, c. E.9 (formerly Emergency Management Act ; formerly Emergency Plans Act)","Yes","Solicitor General","635/2019 (04/05/2019)","1999, c. 12, Sch. P, s. 3-9
2002, c. 14, s. 2-17
2002, c. 17, Sch. C, s. 10
2003, c. 1, s. 14
2006, c. 13, s. 1, 2
2006, c. 32, Sch. C, s. 17
2006, c. 35, Sch. C, s. 32
2009, c. 33, Sch. 9, s. 4
2019, c. 7, Sch. 17, s. 64
2019, c. 7, Sch. 17, s. 64","","",""
"Employee Share Ownership Plan Act, R.S.O. 1990, c. E.10","Yes",,,"1993, c. 16, s. 7","","10/10/1997","1997, c. 19, s. 43 (1)"
"Employer Health Tax Act, R.S.O. 1990, c. E.11","Yes","Minister of Finance","1150/2018 (10/11/2018)","1994, c. 17, s. 57-60
1994, c. 18, s. 1
1994, c. 8, s. 1-36
1996, c. 18, s. 4-6
1996, c. 24, s. 1-4
1996, c. 29, s. 5-8
1997, c. 19, s. 6
1997, c. 43, Sch. F, s. 2
1998, c. 34, s. 58-60
1999, c. 9, s. 106-108
2000, c. 42, s. 45
2001, c. 23, s. 71-84
2002, c. 22, s. 65-67
2004, c. 16, Sch. D, Table
2004, c. 31, Sch. 12
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 33, Sch. I
2009, c. 18, Sch. 11
2010, c. 26, Sch. 6
2011, c. 9, Sch. 13
2012, c. 8, Sch. 13
2013, c. 15
2017, c. 8, Sch. 9","","",""
"Employers and Employees Act, R.S.O. 1990, c. E.12","Yes",,,"2002, c. 24, Sch. B, s. 25
2006, c. 19, Sch. C, s. 1 (1)
2017, c. 20, Sch. 3, s. 1","","14/11/2017","2017, c. 20, Sched. 3, s. 1"
"Employment Agencies Act, R.S.O. 1990, c. E.13","Yes",,,,"","31/03/2001","2000, c. 41, s. 144 (4)"
"Employment Equity Act, 1993, S.O. 1993, c. 35","Yes",,,,"","14/12/1995","1995, c. 4, s. 1"
"Employment Protection for Foreign Nationals Act, 2009, S.O. 2009, c. 32 (formerly Employment Protection for Foreign Nationals Act (Live-in Caregivers and Others), 2009)","Yes","Minister of Labour","1156/2018 (10/11/2018)
1156/2018 (10/11/2018)","2014, c. 10, Sch. 1
2017, c. 22, Sch. 1, s. 70","","",""
"Employment Standards Act, 2000, S.O. 2000, c. 41","Yes","Minister of Labour","1156/2018 (10/11/2018)","2001, c. 9, Sch. I, s. 1
2002, c. 18, Sch. J, s. 3
2004, c. 15
2004, c. 21
2005, c. 5, s. 23
2006, c. 13, s. 3
2006, c. 19, Sch. D, s. 7
2006, c. 19, Sch. M, s. 1
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 34, Sch. C, s. 23
2006, c. 35, Sch. C, s. 33
2007, c. 16, Sch. A
2008, c. 15, s. 85
2009, c. 16
2009, c. 32, s. 51
2009, c. 33, Sch. 20, s. 1
2009, c. 9
2010, c. 15, s. 224
2010, c. 16, Sch. 9, s. 1
2011, c. 1, Sch. 7, s. 1
2013, c. 13, Sch. 1, s. 12
2014, c. 10, Sch. 2
2014, c. 5, s. 48
2014, c. 6
2015, c. 27, Sch. 4, s. 1
2015, c. 32
2016, c. 23, s. 46
2016, c. 30, s. 36
2017, c. 22, Sch. 1, s. 1-69 (But see 2018, c. 14, Sch. 1, s. 27)
2018, c. 14, Sch. 1, s. 1-27
2018, c. 3, Sch. 5, s. 19 (see 2019, c. 1, Sch. 3, s. 5)
2018, c. 6, Sch. 3, s. 8
2019, c. 1, Sch. 4, s. 17
2019, c. 4, Sch. 9, s. 1-11
2019, c. 5, Sch. 3, s. 6","","",""
"Employment Standards Act, R.S.O. 1990, c. E.14","Yes",,,"1991, c. 43, s. 2
1991, c. 5, s. 13-17, c. 16
1992, c. 21, s. 58-61
1993, c. 27, s. 4 & Sch. & c. 38, s. 64
1994, c. 27, s. 57, 119
1995, c. 1, s. 71-79
1996, c. 23 & c. 34, s. 3, 4
1997, c. 4, s. 80, c. 21, s. 3 & c. 31, s. 149
1998, c. 8, s. 24-48
1999, c. 6, s. 22
2000, c. 41, s. 143","","04/09/2001","2000, c. 41, s. 144 (1)"
"Employment Standards Amendment Act (Pregnancy and Parental Leave), 1990, S.O. 1990, c. 26","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Endangered Species Act, 2007, S.O. 2007, c. 6 ","Yes","Minister of Natural Resources and Forestry, in respect of subsection 54 (2) which is shared with the Minister of the Environment, Conservation and Parks
Minister of the Environment, Conservation and Parks, except in respect subsection 54 (2), which is shared with the Minister of Natural Resources and Forestry","Minister of Natural Resources and Forestry: 1158/2018 (10/11/2018)
Minister of the Environment, Conservation and Parks: 1149/2018 (10/11/2018)","2007, c. 6, s. 58 (5)
2019, c. 9, Sch. 5","","",""
"Endangered Species Act, R.S.O. 1990, c. E.15","Yes",,,"1997, c. 41, s. 116","","30/06/2008","2007, c. 6, s. 59"
"Energy Act, R.S.O. 1990, c. E.16","Yes",,,"1993, c. 27, Sch.
1994, c. 27, s. 81
1996, c. 19, s. 20","","27/06/2001","2000, c. 16, s. 45 (1)"
"Energy Conservation Leadership Act, 2006, S.O. 2006, c. 3, Sched. A","Yes",,,,"","09/09/2009","2009, c, 12, Sch. A, s. 18 (1)"
"Energy Consumer Protection Act, 2010, S.O. 2010, c. 8 ","Yes","Minister of Energy, Northern Development and Mines","1148/2018 (10/11/2018)","2011, c. 9, Sch. 27, s. 24
2013, c. 3, s. 57
2015, c. 29, s. 1-6
2019, c. 6, Sch. 2, s. 30","","",""
"Energy Efficiency Act, R.S.O. 1990, c. E.17","Yes",,,,"","09/09/2009","2009, c, 12, Sch. A, s. 18 (2)"
"Enforcement of Judgments Conventions Act, 1999, S.O. 1999, c. 12, Sched. C","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"English and Wabigoon River Systems Mercury Contamination Settlement Agreement Act, 1986, S.O. 1986, c. 23","Yes","Minister of Indigenous Affairs","1154/2018 (10/11/2018)",,"Total","",""
"English and Wabigoon Rivers Remediation Funding Act, 2017, S.O. 2017, c. 34, Sched. 14","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","2019, c. 7, Sch. 17, s. 65
2019, c. 7, Sch. 17, s. 65","","",""
